%  ASCII export : 
%
%  Momentum is normalized to the product of particle's mass and speed of light.
%  All other quantities are in SI units.
%
%            posX             posY             posZ             momX             momY             momZ             mass           charge     macro-charge             time       particleID         sourceID

    0.00080718729    4.0414252e-05     -0.013877832     0.0054761362     0.0063226703     -0.006613465    9.1093825e-31   -1.6021766e-19    -9.156439e-20    2.2092284e-18            65809                1
    -0.0017544499    3.0093039e-05     -0.008380699    -0.0015779366    -0.0099616637    0.00074369262    9.1093825e-31   -1.6021766e-19    -9.156439e-20    2.2092284e-18            63906                1
   -5.8497179e-05    8.0128542e-05      0.013813371    -0.0013742137      0.011261304    -0.0040853773    9.1093825e-31   -1.6021766e-19    -9.156439e-20    2.2092284e-18            64205                1
   -0.00013998649    2.7046439e-05    -0.0028581866    -0.0058814026     -0.010160471   -0.00020215154    9.1093825e-31   -1.6021766e-19    -9.156439e-20    2.2092284e-18            64489                1
     0.0014586536    9.9172808e-05    -0.0051259845    -0.0021447458     -0.002858521   -0.00078378688    9.1093825e-31   -1.6021766e-19    -9.156439e-20    2.2092284e-18            67965                1
   -0.00073487608    4.8724818e-05     0.0058001522   -0.00018732299     0.0031567058   -0.00021099528    9.1093825e-31   -1.6021766e-19    -9.156439e-20    2.2092284e-18            26206                1
    0.00029100833    5.5847799e-05      0.013912507     0.0015655286     0.0093352962     0.0026341539    9.1093825e-31   -1.6021766e-19    -9.156439e-20    2.2092284e-18            64696                1
    -0.0021691595    6.6314526e-05    -0.0019311628   -0.00056163914    -0.0065012337    -0.0005998633    9.1093825e-31   -1.6021766e-19    -9.156439e-20    2.2092284e-18            65309                1
    -0.0009555748    7.6017517e-05     0.0061026001    -0.0026865003    -0.0038625649    -0.0057319165    9.1093825e-31   -1.6021766e-19    -9.156439e-20    2.2092284e-18            65975                1
     0.0011934212    2.4967103e-05     -0.013256083    0.00096596737     0.0032919731    0.00014600798    9.1093825e-31   -1.6021766e-19    -9.156439e-20    2.2092284e-18            65749                1
