+0.0000000E+00	+9.9997600E+05
+1.4505110E-03	+9.9997600E+05
+2.9010221E-03	+9.9993600E+05
+4.3515330E-03	+9.9989700E+05
+5.8020442E-03	+9.9986000E+05
+7.2525553E-03	+9.9981400E+05
+8.7030660E-03	+9.9974200E+05
+1.0153578E-02	+9.9967800E+05
+1.1604088E-02	+9.9958600E+05
+1.3054599E-02	+9.9947600E+05
+1.4505111E-02	+9.9935300E+05
+1.5955622E-02	+9.9922700E+05
+1.7406132E-02	+9.9906300E+05
+1.8856644E-02	+9.9890500E+05
+2.0307155E-02	+9.9864300E+05
+2.1757665E-02	+9.9834500E+05
+2.3208177E-02	+9.9804200E+05
+2.4658688E-02	+9.9774400E+05
+2.6109198E-02	+9.9736200E+05
+2.7559710E-02	+9.9695700E+05
+2.9010221E-02	+9.9651100E+05
+3.0460731E-02	+9.9603900E+05
+3.1911244E-02	+9.9547900E+05
+3.3361754E-02	+9.9494900E+05
+3.4812264E-02	+9.9435400E+05
+3.6262778E-02	+9.9377100E+05
+3.7713287E-02	+9.9311200E+05
+3.9163797E-02	+9.9246800E+05
+4.0614311E-02	+9.9177200E+05
+4.2064820E-02	+9.9098600E+05
+4.3515330E-02	+9.9016600E+05
+4.4965844E-02	+9.8938900E+05
+4.6416353E-02	+9.8857600E+05
+4.7866863E-02	+9.8771300E+05
+4.9317377E-02	+9.8691600E+05
+5.0767886E-02	+9.8603800E+05
+5.2218396E-02	+9.8506400E+05
+5.3668910E-02	+9.8412800E+05
+5.5119419E-02	+9.8313200E+05
+5.6569929E-02	+9.8214200E+05
+5.8020443E-02	+9.8117400E+05
+5.9470956E-02	+9.8004800E+05
+6.0921462E-02	+9.7898100E+05
+6.2371976E-02	+9.7790100E+05
+6.3822489E-02	+9.7678300E+05
+6.5272995E-02	+9.7560500E+05
+6.6723509E-02	+9.7441800E+05
+6.8174022E-02	+9.7319700E+05
+6.9624528E-02	+9.7198900E+05
+7.1075042E-02	+9.7069000E+05
+7.2525555E-02	+9.6940600E+05
+7.3976061E-02	+9.6809700E+05
+7.5426575E-02	+9.6674700E+05
+7.6877088E-02	+9.6542300E+05
+7.8327594E-02	+9.6405200E+05
+7.9778108E-02	+9.6266600E+05
+8.1228621E-02	+9.6122600E+05
+8.2679127E-02	+9.5975400E+05
+8.4129641E-02	+9.5830800E+05
+8.5580154E-02	+9.5688400E+05
+8.7030660E-02	+9.5538900E+05
+8.8481174E-02	+9.5384900E+05
+8.9931687E-02	+9.5232800E+05
+9.1382193E-02	+9.5081100E+05
+9.2832707E-02	+9.4930300E+05
+9.4283220E-02	+9.4776000E+05
+9.5733727E-02	+9.4614500E+05
+9.7184240E-02	+9.4456800E+05
+9.8634753E-02	+9.4293900E+05
+1.0008526E-01	+9.4128400E+05
+1.0153577E-01	+9.3962800E+05
+1.0298629E-01	+9.3786800E+05
+1.0443679E-01	+9.3616100E+05
+1.0588731E-01	+9.3453000E+05
+1.0733782E-01	+9.3285200E+05
